rho,eta
-0.8842087366055521,2.304043717429433
-0.8919523639232724,2.2635501523491803
-0.798550333508789,2.3872421785286586
-0.9408124649812796,2.3017759408210274
-0.8517564036642966,1.8367023063567018
-0.8977845651326867,2.1743101892270102
-0.9313481558337504,1.8948379793307866
-0.9093914860806392,1.991743404466331
-0.8559661086989446,2.1886599149708195
-0.9702221383932149,2.2479027701840253
-0.9011119193475234,2.1076121931546554
-0.8932678918938545,2.298016009586633
-0.9678247480300396,2.2283834312980297
-0.885947742165417,2.015460225095597
-0.8848944967090274,2.2822284023385366
-0.8992624059704122,2.154205332017593
-0.9125488422855668,1.9832122826895624
-0.9434351602653502,1.7652047353890066
-0.920487015337584,2.054038832361359
-0.9470071318707941,1.9779890436206249
-0.9882618727695175,2.049426220074658
-0.9463966032683119,2.1420886539513764
-0.9808197230174539,2.011236830692346
-0.7988518542211578,2.077147393679962
-0.8420520268909787,2.390955500409265
-0.9077206213779103,2.4809210407356965
-0.771489619786454,2.47110779214879
-0.9644922567700199,2.106082030598741
-0.944238410177634,2.182908853043476
-0.9899225545668584,2.4230703754510876
-0.8823692303909475,2.0781972990418853
-0.98003498215583,1.8511016602025154
-0.9312533772546046,1.8466655237783391
-0.8420783297721042,2.035339229773965
-0.878714285840387,2.094019038068431
-0.9121129175085444,2.10481539509107
-0.9144819314725892,2.166564882790863
-0.7224203141130948,2.1504247335146904
-0.9525763351423361,1.9518690042337994
-0.9878870743333492,1.8784229662886507
-0.9466894617684188,2.1426844735161206
-0.8026131148150241,2.1669033827869724
-0.7478889395616941,2.172904834361522
-0.9938726856029992,2.0869606532212557
-0.9641605457401976,1.8043624052441498
-0.8252190850821278,2.3654236919262273
-0.8127867172029589,2.423700031544068
-0.9552425492336802,2.071233328747342
-0.8205473065121368,2.1987103800296324
-0.9880693267074238,2.0553552716466106
-0.8210117539699671,2.1293179299819736
-0.9162589234456882,2.004289747945814
-0.8944555915542121,1.58973971792232
-0.8160244178420146,2.211136231757676
-0.8845203740525427,2.1189929560628467
-0.9871846668128164,2.0324585014387986
-0.862473573003891,2.0837390551874373
-0.9031718880711902,2.4120401466606243
-0.6972390091925681,2.2010818267538808
-0.9323680482810919,1.8930718091729868
-0.8629443885835034,2.170431421564651
-0.9957405623550301,2.0583994937145085
-0.9481886904045567,1.960863923866094
-0.9750479338554674,2.2032342757466297
-0.9880427492256204,1.799991551956553
