rho,eta
-0.9398985325605571,2.073049472480998
-0.9027113120362866,2.1540098968971537
-0.9203773657012754,1.9820535528270373
-0.7946878184242189,2.003829174704276
-0.9044469838172468,1.9423463911815246
-0.9643150707669362,1.9008470735892267
-0.9718741875380731,1.8985248779417205
-0.8529457623984928,2.3366192722563115
-0.8638254877739934,2.381107590131415
-0.9253087176936323,2.2664955191181013
-0.9400100524404456,1.9473886009465524
-0.8547539215515182,1.7276474435128892
-0.9817511173794418,2.2601211327941075
-0.9286633697185045,2.147008389574242
-0.9961769087884532,2.289169712242771
-0.9961769087884532,2.289169712242771
-0.923907915328215,2.2823545838197643
-0.9346038369335725,2.0102195444512807
-0.9246991275462602,2.225308124777239
-0.9503215227714314,2.0551412778384166
-0.9594342332037239,2.280343725944575
-0.7413892368226279,1.9461885795175526
-0.8140446757180149,2.1524282542919506
-0.9779365004412794,2.1394448291776826
-0.9406910246087845,2.2432073801516337
-0.8464959956367143,2.1794456260543194
-0.932870520448964,1.9951191453647408
-0.7609241543079572,2.0685534791692324
-0.9360804594239126,2.208048604028169
-0.8076451314206007,2.2107798856358754
-0.8755059349455271,2.042858899279762
-0.8354613451954818,2.1134464053944404
-0.8954331153235029,2.203435514715187
-0.95452138069458,2.0715716232621992
-0.9658688990730974,2.1096985593952295
-0.9788807636212441,2.1129092471077846
-0.9374290322875265,2.157972065013269
-0.8219955814632782,2.1472960873042783
-0.7555810445747052,2.1782608390759473
-0.9464163504861287,1.8917100938890226
-0.9514805246373397,2.0554664085775034
-0.8893597542473611,2.055893186844066
-0.9610500571840773,2.2865341522191254
-0.7227208245046357,2.350245753722896
-0.887067321137718,2.155466299614482
-0.9661641712883455,1.8649135897596611
-0.6358356115278746,2.102329561956305
-0.8684482431169447,2.203144456705022
-0.9159331504099675,2.065156087233691
-0.91429409626799,1.9604230340217434
-0.9497850516805628,2.1482846655308085
-0.9305822911846361,2.1301158968812373
-0.8446721629787325,2.2088088923546794
-0.9637344997683901,2.2124641486086962
-0.8185163829990988,2.3082482709272596
-0.9785091626622079,1.9994299168841554
-0.8847382587307043,1.8761300270463905
-0.9369838597598273,2.1356868451821405
-0.9491409330495115,1.8692964695887864
-0.940118540194275,2.1617026791253857
-0.8857647225805421,2.0343442783813037
-0.9277863597374583,2.024261225219848
-0.8772256359970065,2.1859159920861844
-0.8499112062006512,2.248973159936381
-0.8916337705324697,2.1002178136371636
-0.9316458002799833,1.9757532668840128
-0.8622968258780861,2.0570725912898884
-0.9812344740991862,1.9889496222823495
-0.9446015913450775,2.0334489906351743
-0.9448420684464693,2.2243981708382092
-0.9453270804942466,1.9862293700970652
-0.9456259147788152,2.184446709531581
-0.938877509340529,2.218888492607941
-0.9385980312779081,1.9652067878457977
-0.9633005928610526,1.6339160256708762
-0.8369094763862734,1.9754785580225824
-0.944930376312627,1.9265994915286673
-0.9078017676653208,2.084922138159502
-0.946763136993731,1.7760329604217913
-0.9742290318689846,2.2447123057367064
-0.9363954362127068,2.2736979230267527
-0.957331768576094,1.9966000568290252
-0.721107047161898,2.069506285204635
-0.9474320814202308,2.0515128923882293
-0.9297902421356604,2.219596397008397
-0.8474577602176228,2.4021660080774745
-0.9460184284045233,2.211150174856028
-0.9637541464013374,2.2320588311209515
-0.9365412788601932,2.2140212536129824
-0.8970025303054918,2.2995391393062965
-0.9569408697764987,1.7814434323369834
-0.8482507359176429,2.2198465114171264
-0.9825783037075732,2.0312029058631116
-0.8936612076293241,2.112400795367073
-0.8446797067222304,2.253942974080734
-0.8377948139793548,2.168771385474055
-0.9635413205475744,2.036446776649299
-0.9634681782589806,2.055337286697889
-0.8805132102256606,2.0889605465223444
-0.9059834067192812,1.9202362114718294
-0.9114358442980641,2.073777505784446
-0.7835134645326917,1.9603616171523928
-0.7782674276300818,2.012742976122401
-0.8632111165031855,2.1666442037977087
-0.9950645335302083,2.1442065707533433
-0.9321840245597778,2.056313222638143
-0.9920920119773866,1.8414707885099297
-0.9511270755532373,2.1349581304689886
-0.9473294721379832,1.903427922348402
-0.9284571388504018,2.174427483043668
-0.8064747937979083,2.120992833145002
-0.7592674112879726,2.2381445233559867
-0.9975183243354151,1.8911579823405251
-0.9895157281694198,2.083962083998135
-0.7998915133956661,2.224658881717475
-0.9090107488543494,2.0112680677822667
-0.9573940418158375,2.3046848717126864
-0.8553198568115028,2.0861555394377205
-0.7697880013401744,2.397309330897167
